nhName,boundaryPoints
Abbottsfield,"MULTIPOLYGON (((-113.38763361941625 53.5761348260187, -113.38362778541232 53.57460806267437, -113.38405487416424 53.573599690741396, -113.38437060155007 53.57290764870537, -113.38465622187375 53.57228236911472, -113.38523989153096 53.57172595093625, -113.38714658341135 53.57070612226514, -113.38852222913157 53.57045359892313, -113.38955481086936 53.570389233662354, -113.3937116603801 53.57037683473163, -113.39370624991729 53.57191512720261, -113.3936979063327 53.5727667925654, -113.39369401940156 53.57354261653121, -113.39368735486784 53.57509164335423, -113.39408147864543 53.57509174449173, -113.39407538249937 53.57662865219799, -113.39407396081538 53.577164015218706, -113.3940287101204 53.57719140868551, -113.39402858007975 53.57731452849222, -113.39402686020317 53.57763946844604, -113.39375492904348 53.57791003225694, -113.38885796376634 53.57660141776689, -113.38763361941625 53.5761348260187)))"
Albany,"MULTIPOLYGON (((-113.56024507997823 53.631603654204575, -113.55350756984309 53.63370673640042, -113.55153803170415 53.63453594819489, -113.54742572969555 53.636052538384796, -113.54134540985494 53.63604791855428, -113.54117909352641 53.6360481647238, -113.54117596359971 53.62871174181401, -113.55942879599488 53.628719230012415, -113.56335837480779 53.628730341633364, -113.56326455783005 53.62882097975424, -113.56024507997823 53.631603654204575)))"
Alberta Avenue,"MULTIPOLYGON (((-113.4922573373992 53.57661667098679, -113.4904174827855 53.57662685122001, -113.48887464074446 53.576624995776, -113.48733268803709 53.576625697223065, -113.48577733287203 53.576623033096986, -113.48423435421044 53.57662147981164, -113.48122419885232 53.5766227362583, -113.47961708804937 53.576623781191095, -113.47796982562038 53.5767215178375, -113.47796481190609 53.575136358463666, -113.47795810817003 53.57354597793899, -113.47796032845581 53.57195514460011, -113.47795787776539 53.570390222495156, -113.47822790513115 53.570390153572205, -113.47821656712729 53.56889626844645, -113.47820156528105 53.567360955142625, -113.47818371503118 53.56581926435631, -113.4781567790368 53.562750335317695, -113.47814204768578 53.561032418229374, -113.47923330090036 53.56102713160834, -113.47963671694558 53.56109093185176, -113.4826414901432 53.56056092607353, -113.48412553336229 53.56043304610442, -113.48638770886475 53.56024032220539, -113.48700431569155 53.56004609341634, -113.48860649565628 53.559497713389135, -113.48950784532973 53.5591915092152, -113.4901187849211 53.55914074912717, -113.4918484569145 53.55902366244588, -113.49173285065314 53.559469071669504, -113.49175182443001 53.56103482019982, -113.49176191944112 53.56270429513389, -113.49178150527553 53.56424466156189, -113.49179781034871 53.56577647963954, -113.491798791102 53.5673158761811, -113.49182402260666 53.56884944252325, -113.49181517666221 53.56990545257384, -113.49202858097358 53.57037740274057, -113.49228046073702 53.57090606873409, -113.49226543618838 53.57195296477064, -113.49226895981907 53.57354133395832, -113.49225541087753 53.575323014371335, -113.4922573373992 53.57661667098679)))"
Alberta Park Industrial,"MULTIPOLYGON (((-113.59041036545504 53.56653797809856, -113.59039450184106 53.56559335113034, -113.59040565606102 53.56306680892917, -113.59714666409506 53.56304828287, -113.60277606393115 53.56303164440834, -113.60278721194078 53.56359483302686, -113.60272092816007 53.564072940298004, -113.60257618903083 53.564653792044474, -113.60252818472956 53.56654337340691, -113.60256441221652 53.56810534356417, -113.60256171966137 53.5686238552815, -113.60275884905333 53.56958513649078, -113.60282216126318 53.57043812714939, -113.59715634202246 53.57042062810435, -113.5904110297295 53.57041887829916, -113.59041036545504 53.56653797809856)))"
Aldergrove,"MULTIPOLYGON (((-113.65208909917395 53.519502308477016, -113.65209161933375 53.521111438545056, -113.65209209443212 53.521277898578745, -113.6491110931314 53.52135060357697, -113.64699848798325 53.52139511802755, -113.64409438391843 53.52146726925487, -113.637132345425 53.521602510843145, -113.63358989727351 53.52152764534147, -113.63046868855562 53.52128898001912, -113.63059718026804 53.520123400751274, -113.63063757010836 53.51913779253983, -113.63058227635206 53.51835911052334, -113.63042877653217 53.51706112796621, -113.6300540698576 53.51489087316947, -113.62990998825912 53.51217442894543, -113.65207270587251 53.512195385793255, -113.65207930744083 53.51265538799051, -113.65207897483491 53.51295756736734, -113.65208909917395 53.519502308477016)))"
Allard,"MULTIPOLYGON (((-113.54071140524375 53.395708891805235, -113.54071446105894 53.39672221763406, -113.54080816078714 53.39927861234592, -113.5408044169025 53.40128579320491, -113.54079676271054 53.40135499691581, -113.54075229860935 53.40162144945804, -113.54071559246951 53.40175384230974, -113.54066320652586 53.401900700691755, -113.54062052787592 53.40200025574564, -113.54057618732921 53.40209148718918, -113.54049765177437 53.40223221841282, -113.54040580812803 53.40237361933081, -113.54030418620337 53.40251005685921, -113.54018138938856 53.402654873457145, -113.54006012539642 53.4027818080328, -113.53994691791453 53.40288905929616, -113.53984015722244 53.40298204272655, -113.53974422871684 53.40305982842721, -113.53952205807522 53.4032224948608, -113.53720543758692 53.404692123825896, -113.53638422350068 53.4042509949419, -113.53554666530152 53.40385969746347, -113.53469921247078 53.403559995286294, -113.53401157319763 53.403383819010806, -113.53308673916779 53.403226442068295, -113.53245830549167 53.403166549073184, -113.53190970242832 53.403143667077146, -113.53130745906236 53.40314135451732, -113.52860373162979 53.40314521163607, -113.52756452426337 53.403149549885754, -113.52643584780033 53.403193035024906, -113.52565365912541 53.403260978417165, -113.52501762950202 53.403350532766, -113.52419832766843 53.40352192529672, -113.52340055216219 53.40376454768433, -113.5227560540728 53.40402596930948, -113.52203814298196 53.404406088122876, -113.521601164855 53.40466084849034, -113.52057699876056 53.40525996214347, -113.52008168079126 53.405548905067874, -113.51807235803064 53.40642706264205, -113.51766971694114 53.406677165427524, -113.51693024003353 53.40651237076742, -113.51690745349464 53.40642553129422, -113.51659039305189 53.40645523856384, -113.51637788944709 53.40658810327309, -113.51638078181757 53.40534973576406, -113.51621842486637 53.40536182020718, -113.51251799493392 53.405357339700636, -113.5124670031188 53.399996958543525, -113.51475855423719 53.39998939512488, -113.51474691760986 53.39864912482966, -113.51615669433681 53.398646049594, -113.5161554198474 53.39851250568433, -113.51615624622028 53.39851148067282, -113.51615377947222 53.39834062260059, -113.51615308944788 53.398268319648395, -113.51614749992389 53.39807528934829, -113.51613105000744 53.39647131847397, -113.51628871151735 53.39644249106886, -113.51629300720398 53.3957796898576, -113.5164263302191 53.39577999847814, -113.5171170627732 53.39577805413025, -113.52857337425401 53.395744921162276, -113.53464970016826 53.39572655866328, -113.53464976790104 53.395681381271885, -113.54071272430262 53.395670696462794, -113.54071140524375 53.395708891805235)))"
Allendale,"MULTIPOLYGON (((-113.50259772831379 53.506373594871405, -113.50053503550913 53.50637299567395, -113.49766320872679 53.50636848752913, -113.49766225842332 53.50543738339711, -113.49765566673004 53.50436411106658, -113.49765309697399 53.50252822811494, -113.49765648913272 53.501616693382815, -113.49765658201243 53.49986836199753, -113.49763833914609 53.49797727278971, -113.49932490553093 53.49798760764452, -113.50080221436961 53.49803618121185, -113.50225698661725 53.4981116700112, -113.50255629676853 53.49812790977393, -113.50289475406144 53.49813836328341, -113.50441318663691 53.49817448153584, -113.5093354186334 53.49818426656862, -113.51189684946173 53.498219821190055, -113.5119851735305 53.49916063116055, -113.51198018007992 53.500106270790454, -113.51198590114802 53.50105482153833, -113.51198775976063 53.50198273693816, -113.51198917100095 53.502951596633125, -113.51199236509456 53.503901125798755, -113.51200456409924 53.50483634658156, -113.51202366756515 53.50562468983101, -113.51202414796357 53.50657394294333, -113.50631071557702 53.50657470791163, -113.504416591179 53.50657672749481, -113.50441618976849 53.50633852578429, -113.5027389019277 53.50634715530566, -113.50259772831379 53.506373594871405)))"
Ambleside,"MULTIPOLYGON (((-113.60111949213274 53.43978465864032, -113.60093354087876 53.439736750783666, -113.60075046927969 53.439685040123024, -113.60057049539746 53.43962958825555, -113.60039383360152 53.43957046123468, -113.60022069431348 53.43950772949115, -113.60005128375633 53.43944146774955, -113.59998325182087 53.43941342448029, -113.59991588831215 53.439384811739245, -113.59984920659903 53.43935563520545, -113.59978321991494 53.43932590066975, -113.59971794135532 53.439295614033796, -113.59965338387495 53.43926478130875, -113.59841305855448 53.438663012619074, -113.59565951340045 53.43610207242202, -113.5903955269323 53.43286270899984, -113.59019453995502 53.43276252861144, -113.58910812637575 53.43222340995071, -113.58742622107481 53.43139025691235, -113.58666392288505 53.430644636037094, -113.58648207524529 53.429265251953325, -113.58583908328713 53.42847944373206, -113.58374648517632 53.42800265386885, -113.58350811909051 53.42795888876165, -113.58326402289977 53.42792840630371, -113.58301626675872 53.42791146501212, -113.58276695185099 53.4279082085629, -113.5825181925752 53.427918664573, -113.58227209861921 53.427942744366234, -113.58203075707424 53.42798024372501, -113.58179621474021 53.42803084462147, -113.58040127080339 53.42839571621923, -113.58013347009964 53.42845897101604, -113.57985834732641 53.42850979623781, -113.57957751716019 53.42854789359158, -113.57929262778947 53.42857303948331, -113.5790053512373 53.42858508633137, -113.57871737354368 53.428583963432736, -113.57864733135567 53.42858169848853, -113.57857737212626 53.428578653384555, -113.57850752021561 53.42857482918116, -113.57843779994641 53.42857022720997, -113.57836823559562 53.42856484907338, -113.57829885138578 53.42855869664411, -113.57429329391884 53.42817917954022, -113.56923267886559 53.42776960657989, -113.56757236150374 53.42773765527514, -113.56630898474197 53.42777443871815, -113.56639144033721 53.427675509259196, -113.56647830382295 53.42757793472314, -113.566569512812 53.427481785156566, -113.566665001799 53.42738712958243, -113.56676470220738 53.42729403595088, -113.56686854243884 53.42720257109028, -113.56801808341501 53.427196265513444, -113.56856237675288 53.427005766619104, -113.56883550868612 53.426812870074386, -113.56911988990322 53.42639973527963, -113.56940201228991 53.426233080969695, -113.56991294524629 53.426099930524884, -113.57007637572663 53.42607203172219, -113.57013543937296 53.42586150074032, -113.57051198117293 53.42539036574884, -113.5698217543241 53.42500162006762, -113.5698216523882 53.42490517326446, -113.58998414659385 53.424895866016726, -113.60120338700483 53.42487681228919, -113.60265092027241 53.424466279084136, -113.60352361348406 53.424165753311506, -113.60450282188928 53.42366129991608, -113.60525485345384 53.4232425115041, -113.60705022049258 53.42230207287812, -113.60725847951933 53.422190963082436, -113.60796461337019 53.42185840392809, -113.60901068845222 53.42155079745237, -113.60993506041797 53.421377455561185, -113.61096607763974 53.421234200505026, -113.61464095677498 53.42126128717041, -113.61463830788166 53.42485260908087, -113.61466582163801 53.42862260223098, -113.61472211601105 53.43337175349622, -113.61415009095045 53.43380029680721, -113.61374480548928 53.43487740308472, -113.61321216441347 53.43585044075878, -113.61238449981062 53.43674446176458, -113.61126223380089 53.43773958064285, -113.60644615020345 53.439523238728455, -113.60633990303945 53.439561635740965, -113.60623231852463 53.43959868143929, -113.60612344485857 53.439634359225415, -113.60601333081885 53.439668653113856, -113.60590202573913 53.439701547739396, -113.6057895794871 53.43973302836352, -113.60525172879379 53.439860650600465, -113.60469544738427 53.43995603712049, -113.60412614005772 53.44001826113943, -113.60354933826508 53.440046718080765, -113.6029706463276 53.44004113145384, -113.60239568694413 53.440001555541784, -113.602177776918 53.43997748260893, -113.60196154355916 53.439948517158676, -113.60174729488658 53.43991470045201, -113.60153533609008 53.43987608066056, -113.60132596909514 53.43983271279781, -113.60111949213274 53.43978465864032)))"
Anthony Henday,"MULTIPOLYGON (((-113.66448810089065 53.52042546233807, -113.66418491803536 53.520400040839114, -113.66419260407484 53.52299907620111, -113.66564513823435 53.52309062745583, -113.66565191124744 53.52518625293406, -113.6645049498554 53.525843446966995, -113.66420237121692 53.52601734446815, -113.66207837920136 53.527234268315446, -113.66189017344117 53.52915007015612, -113.66421280139643 53.529232525131526, -113.66436463970622 53.52923565296259, -113.66436873940187 53.53056935505884, -113.66421602568853 53.53057285197374, -113.66179036254776 53.53061532422837, -113.6619116981049 53.53436718257084, -113.66259466155415 53.53558806765768, -113.66408399025357 53.53643042235861, -113.66408739991265 53.537544278533474, -113.6642391276058 53.53754405980607, -113.664390182405 53.53754474203328, -113.66439775995418 53.540009526513316, -113.66442275554942 53.54124424111199, -113.66440960870197 53.54251174098446, -113.66423725073926 53.54274522877299, -113.66186513025579 53.5462601285688, -113.6642076453522 53.546528779512535, -113.66436787668898 53.54653483177496, -113.66433730023175 53.54948190669601, -113.66406174523229 53.5494807365826, -113.66179165105241 53.54947487847374, -113.6615693599851 53.54960905834111, -113.66166234972191 53.55270136839394, -113.6640320132481 53.55362163085569, -113.66430458051288 53.55373430587069, -113.66429869004979 53.55469771044487, -113.66429274157201 53.558622893554265, -113.66429228741089 53.558662002794506, -113.66411918390118 53.55866143512646, -113.66330196915789 53.55866291992307, -113.66229989989293 53.55902611840494, -113.66242891278911 53.560225773257685, -113.66295920739609 53.56311778399127, -113.66328826649038 53.564363732022514, -113.66396465014076 53.56692162845348, -113.66405540010595 53.567050388516876, -113.66419480465743 53.5670545626076, -113.66417732301872 53.568559187272, -113.66434745259846 53.5685598942799, -113.66512011979066 53.56856176854909, -113.66625512028402 53.570172678319025, -113.66633434491514 53.570231207199285, -113.66645928351925 53.57038822159314, -113.66415603354423 53.57039137641169, -113.65854353574491 53.570432965954026, -113.65449437523137 53.57043662469259, -113.65498095663699 53.57023545277345, -113.65771109999147 53.5691742084902, -113.65673294900911 53.56635882646592, -113.65665295931481 53.56612466555975, -113.65656774478825 53.56588329563349, -113.65396718032568 53.55839627834922, -113.65365601027126 53.55829153853433, -113.65193586344442 53.55865217674762, -113.65195896415833 53.55652648485213, -113.65295448011062 53.55625636839427, -113.65314633999564 53.556030958385335, -113.6524615171648 53.55406691303814, -113.65199952881532 53.55273713700189, -113.65204366791784 53.5486002111, -113.65211757545045 53.54143908506131, -113.65165923799715 53.54125239277124, -113.6516600788468 53.54053113207712, -113.65165928046316 53.538328095844335, -113.6516586413221 53.53754828808867, -113.6517555002388 53.53697669847209, -113.65179575075119 53.53668225089198, -113.65211842983432 53.53644802849158, -113.6521175700077 53.5340261985031, -113.65211868814622 53.53395383332794, -113.65211690027779 53.53369178861202, -113.65211675015993 53.53363663840692, -113.65211460550366 53.53213707950135, -113.65211055114212 53.530327295253855, -113.65210798123644 53.530072141379264, -113.65210005916542 53.52648470858691, -113.65209624933202 53.52408147843103, -113.65209424922831 53.522648528583574, -113.65209246932233 53.521634768657734, -113.65209256953129 53.52144435860778, -113.65209161933375 53.521111438545056, -113.65207897483491 53.51295756736734, -113.65207930744083 53.51265538799042, -113.65207270587251 53.512195385793255, -113.65640601841258 53.5121990034276, -113.65928712207158 53.51221053363927, -113.66244279987393 53.51223247469406, -113.66416007178437 53.51223876047882, -113.66415980126813 53.51215405639594, -113.6642309152027 53.512154109628845, -113.66423057990623 53.51178378835894, -113.66453377293323 53.511784441631946, -113.66453420497774 53.51223781514747, -113.66561103190091 53.512236812910224, -113.66561241981925 53.51233852866986, -113.66562063993936 53.5151507583919, -113.6648199679118 53.51652000728234, -113.66447753671451 53.51710466397748, -113.66448455975852 53.51947409840625, -113.66448810089065 53.52042546233807)))"
Anthony Henday Big Lake,"MULTIPOLYGON (((-113.64587571324887 53.585970509062456, -113.64706855998286 53.58528293863872, -113.6481300997149 53.58458105864469, -113.64916818998239 53.583779668608074, -113.64999387035546 53.583042162359725, -113.65057420531322 53.58252350358262, -113.65105691089933 53.58199515724604, -113.65181951782792 53.58199589845636, -113.65181908158206 53.577780826119636, -113.65181689075793 53.57416749851886, -113.65180971308156 53.5736500647048, -113.65181615013722 53.57294601610943, -113.65181525353995 53.57146806853373, -113.65392372006615 53.570646338423494, -113.65449437523137 53.57043662469259, -113.65854353574491 53.570432965954026, -113.66415603354423 53.57039137641169, -113.66645928351925 53.57038822159314, -113.66678148274814 53.570556158050685, -113.66686974006961 53.570626888538456, -113.66772693532522 53.570783324635116, -113.67092026723316 53.571386120076546, -113.67179331352837 53.57123555891126, -113.67179899169156 53.572151654402475, -113.67180435582098 53.572658842188844, -113.67182082227296 53.57336296960245, -113.67181517561026 53.57404290541838, -113.67182387452077 53.57496882187651, -113.6691718498903 53.57549531869736, -113.66834321899276 53.57596512474905, -113.6673301409719 53.57596747001327, -113.66732689975646 53.57654161860854, -113.66514365709769 53.577778947626356, -113.66428302568238 53.577780848302254, -113.66416079372982 53.57778096799293, -113.66415631925956 53.578326849105636, -113.66389641972688 53.578484618512, -113.6631488099103 53.57890759867766, -113.66166267011522 53.581177098608386, -113.66144927007062 53.5813835886343, -113.66131170018195 53.58138329836179, -113.66131090005852 53.58151768849564, -113.65802693855181 53.58469531921804, -113.65772449381332 53.58500636372162, -113.6570703588991 53.58566382951391, -113.65638309138328 53.5863540653112, -113.65638084156087 53.586814176669776, -113.65178346881409 53.58681527426082, -113.65175635110026 53.5881631689189, -113.65167516964347 53.59225444996528, -113.65165815676148 53.593090516084445, -113.65165549002974 53.59326138673666, -113.65152951237586 53.59948433775038, -113.65152938412189 53.599664700747184, -113.63894371752163 53.599706337812194, -113.63894409978103 53.59974923862634, -113.63888800085186 53.601767346408145, -113.6389254798347 53.60180056853725, -113.63891151019628 53.60230153847945, -113.6388742097602 53.60226318853427, -113.63852597902003 53.601932709403044, -113.6381431833258 53.6016160450856, -113.63772736738157 53.60131447279863, -113.63728020896619 53.60102920886085, -113.6368035121608 53.6007614037913, -113.63629920006915 53.60051213767316, -113.63622863786243 53.60047974709775, -113.63615760824005 53.600447720067955, -113.63608611649616 53.600416058970225, -113.63601416795933 53.60038476616407, -113.63594176799214 53.60035384398132, -113.63586892199078 53.60032329472634, -113.63565885419865 53.60023827257245, -113.63544533302885 53.60015635103546, -113.63522848780507 53.60007757972562, -113.63500844986172 53.600002006344816, -113.63478535246456 53.599929676658356, -113.6345593307299 53.59986063446678, -113.6344586216433 53.5998312020578, -113.6343573808206 53.59980242243241, -113.63425562021962 53.59977429898947, -113.63415335185947 53.5997468350504, -113.6340505878191 53.59972003385877, -113.633947340236 53.59969389857973, -113.63374567983244 53.59964513848075, -113.63350753290239 53.59957846721253, -113.63279903007688 53.599454068488015, -113.63267144141118 53.59943287873252, -113.63254340627788 53.59941266442268, -113.63241494575028 53.59939342888548, -113.63228608097172 53.59937517528683, -113.63215683315183 53.59935790663099, -113.63202722356334 53.59934162576006, -113.62801112992537 53.59885267865465, -113.62785350616986 53.59883289555369, -113.62769629324049 53.59881198791857, -113.62753951381343 53.598789958765046, -113.6273831905021 53.59876681127075, -113.62722734585417 53.59874254877447, -113.62707200234802 53.59871717477594, -113.62678287905655 53.59866676124591, -113.62649573242567 53.59861249792058, -113.62621070732472 53.59855441217801, -113.62592794755099 53.59849253332483, -113.62564759575692 53.59842689258118, -113.62536979337816 53.59835752306519, -113.62512528334857 53.59829280589223, -113.62488299275348 53.59822520003457, -113.62464301803327 53.598154732404936, -113.62440545470484 53.59808143105482, -113.62417039732377 53.59800532516376, -113.62393793944658 53.5979264450276, -113.62709089860383 53.59739685675635, -113.62708676406646 53.597686015256365, -113.62729395845413 53.59772463397274, -113.6275023171576 53.59776096885654, -113.62771176903381 53.5977950075008, -113.62792224256586 53.59782673828278, -113.62813366588752 53.597856150367534, -113.62834596680776 53.59788323371206, -113.62903706256084 53.597967474882104, -113.62882599510407 53.59806205839502, -113.62860122673277 53.598144721180184, -113.62836465421623 53.59821476563855, -113.62811827397177 53.59827160065555, -113.62786416521307 53.598314746590596, -113.62760447239854 53.59834383932664, -113.62734138712818 53.59835863334377, -113.62707712964189 53.598359003792254, -113.62707602887895 53.598435896150505, -113.62724561016964 53.59846455212245, -113.62741583189444 53.59849183167605, -113.62758666247807 53.59851772975067, -113.62775807023208 53.598542241542226, -113.62793002336076 53.59856536250375, -113.62810248996715 53.59858708834612, -113.62858149631889 53.59864541674545, -113.63782485358247 53.593363496297044, -113.63920326789369 53.59199866077859, -113.63935942918867 53.592001278932656, -113.63943888461185 53.58862810300412, -113.63968635027976 53.588626998450565, -113.64025815972033 53.5883598383588, -113.63979549986126 53.58778814858532, -113.63945872455476 53.58778573181403, -113.63952426416012 53.585002765980164, -113.63970216856859 53.58500424919447, -113.6403040101643 53.58500443855412, -113.64037211206268 53.58517361480565, -113.64044783762874 53.58534163975357, -113.64053113214439 53.58550839178536, -113.64062193541135 53.585673750208244, -113.6407201817943 53.58583759533679, -113.64082580026815 53.585999808579494, -113.6408621148167 53.58605122938896, -113.6409009684588 53.58610198888415, -113.6409423272345 53.58615204268701, -113.6409861549934 53.58620134703642, -113.64103241342599 53.58624985882628, -113.64108106209731 53.58629753564317, -113.64123573104656 53.58643106789707, -113.64140910463358 53.58655620187496, -113.64159990154084 53.58667201265918, -113.64180671163274 53.58677764423612, -113.64202800637747 53.58687231582567, -113.64226215014519 53.5869553276538, -113.64250741229932 53.587026066126825, -113.64276197999088 53.58708400836849, -113.64381338014388 53.586802808658184, -113.64418894013421 53.58669448220133, -113.64455334700463 53.58657341915909, -113.64490538201979 53.58644002445113, -113.64524386785676 53.586294744238785, -113.6455676725441 53.58613806443191, -113.64587571324887 53.585970509062456)))"
